AMBITIOUS PINS,雄心速龍,V265,060,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V265&Option=1#htop
AMBITIOUS SPEEDY,駕迅,T063,039,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T063&Option=1#htop
AMRITSARIA,阿姆利則,V122,041,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V122&Option=1#htop
ANDOYAS,大情人,T109,077,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T109&Option=1#htop
ANTICIPATION,期惑,T198,095,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T198&Option=1#htop
APACHE SPIRIT,罕曾見,T095,067,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T095&Option=1#htop
APOLLO'S CHOICE,豈等閒,S312,083,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S312&Option=1#htop
APPLAUSE,喝采,A023,063,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A023&Option=1#htop
ARCADA,有備而來,A240,085,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A240&Option=1#htop
ARCHIPPUS,一哥,P361,095,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P361&Option=1#htop
ARGENTUM,搵銀天皇,T201,059,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T201&Option=1#htop
ARIZONA BLIZZARD,鐵男,V264,072,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V264&Option=1#htop
ARM RUNDA,秘密武器,V248,064,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V248&Option=1#htop
ART OF RAW,神馬飛揚,V368,078,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V368&Option=1#htop
ART OF SUCCESS,飛躍成功,P231,044,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P231&Option=1#htop
ASHKIYR,醉必勝,P151,057,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P151&Option=1#htop
ASSOCIATION FANS,駿協精英,V207,059,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V207&Option=1#htop
ATHENA BABY,曦世之寶,S449,077,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=S449&Option=1#htop
ATOMIC BLAST,大爆發,T203,030,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T203&Option=1#htop
AUDACITY,天胆,V238,033,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V238&Option=1#htop
AUTOPAY,自動波,A027,051,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A027&Option=1#htop
AUTUMN GOLD,金秋,P044,051,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=P044&Option=1#htop
AVELLINO,瑩然英峻,T388,063,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T388&Option=1#htop
AZTEC EMPIRE,神威福將,T064,054,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T064&Option=1#htop
BABA MAMA,怪獸家長,V214,083,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V214&Option=1#htop
BACK IN BLACK,光芒再現,T358,078,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=T358&Option=1#htop
BAD BOY,宇宙車神,V251,107,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V251&Option=1#htop
BALAY BALAY,欣喜欣喜,V247,060,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V247&Option=1#htop
BANK ON RED,紅運發財,A228,073,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=A228&Option=1#htop
BASIC TRILOGY,精氣神,V133,103,0,http://www.hkjc.com/chinese/racing/horse.asp?HorseNo=V133&Option=1#htop
